group_id	group_size	sp_in_grp	seed_ortholog_cnt	Styela_clava.pep	human.pep
39	4	2	4	evm.TU.000016F_arrow_pilon.67	ENSG00000198838.14,ENSG00000196218.14,ENSG00000198626.18
40	2	2	2	evm.model.000070F_arrow_pilon.19.update	ENSG00000163625.16
41	4	2	4	evm.model.000009F_arrow_pilon.70.update	ENSG00000115306.16,ENSG00000070182.21,ENSG00000173898.15
42	14	2	14	evm.model.000066F_arrow_pilon.34.update,evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update,evm.model.000926F_arrow_pilon.9.update,evm.model.000239F_arrow_pilon.24.update,evm.model.000926F_arrow_pilon.11.update,evm.model.000926F_arrow_pilon.12.update	ENSG00000006788.14,ENSG00000133020.4,ENSG00000264424.1,ENSG00000109061.10,ENSG00000125414.19,ENSG00000109063.15,ENSG00000092054.13,ENSG00000197616.13
43	3	2	3	evm.model.000150F_arrow_pilon.5.update	ENSG00000288121.1,ENSG00000112159.12
44	2	2	2	evm.model.000001F_arrow_pilon.27.update	ENSG00000189056.15
45	2	2	2	evm.model.000324F_arrow_pilon.20.update	ENSG00000112249.14
46	2	2	2	evm.model.000015F_arrow_pilon.86.update	ENSG00000089154.11
47	2	2	2	evm.model.000002F_arrow_pilon.50.update	ENSG00000125107.19
48	3	2	3	evm.model.000524F_arrow_pilon.4.update	ENSG00000165521.16,ENSG00000214595.13
49	3	2	3	evm.TU.000370F_arrow_pilon.2	ENSG00000257335.8,ENSG00000282607.1
50	2	2	2	evm.model.000082F_arrow_pilon.30.update	ENSG00000138002.16
51	2	2	2	evm.model.000125F_arrow_pilon.23.update	ENSG00000196712.19
52	6	2	6	evm.model.000566F_arrow_pilon.5.update	ENSG00000133392.18,ENSG00000133026.14,ENSG00000105357.20,ENSG00000276480.5,ENSG00000100345.23
53	2	2	2	evm.model.000043F_arrow_pilon.16.update	ENSG00000131018.25
54	2	2	2	evm.model.000003F_arrow_pilon.53.update	ENSG00000086758.16
55	2	2	2	evm.model.000204F_arrow_pilon.28.update	ENSG00000205038.12
56	2	2	2	evm.model.000117F_arrow_pilon.11_evm.model.000117F_arrow_pilon.7.update	ENSG00000115155.19
57	2	2	2	evm.model.000110F_arrow_pilon.7.update	ENSG00000047315.17
58	2	2	2	evm.model.000331F_arrow_pilon.7.update	ENSG00000092148.14
59	2	2	2	evm.model.000028F_arrow_pilon.61.update	ENSG00000048707.15
60	3	2	3	evm.model.000010F_arrow_pilon.8.update	ENSG00000038382.21,ENSG00000160145.16
61	6	2	6	evm.model.000003F_arrow_pilon.56.update	ENSG00000151067.23,ENSG00000157388.20,ENSG00000081248.12,ENSG00000285479.2,ENSG00000102001.13
62	2	2	2	evm.model.000160F_arrow_pilon.12.update	ENSG00000189091.13
63	3	2	3	evm.TU.000276F_arrow_pilon.11	ENSG00000137474.23,ENSG00000169994.20
64	2	2	2	evm.model.000060F_arrow_pilon.33.update	ENSG00000102763.18
65	3	2	3	evm.model.000418F_arrow_pilon.9.update	ENSG00000129493.15,ENSG00000008869.12
66	4	2	4	evm.model.000004F_arrow_pilon.110.update	ENSG00000148400.13,ENSG00000074181.9,ENSG00000134250.21
67	2	2	2	evm.model.000119F_arrow_pilon.18.update	ENSG00000138688.17
68	4	2	4	evm.model.000146F_arrow_pilon.40.update,evm.model.000146F_arrow_pilon.41.update	ENSG00000130702.15,ENSG00000053747.17
69	3	2	3	evm.model.000111F_arrow_pilon.51.1.update	ENSG00000197694.18,ENSG00000163554.15
70	4	2	4	evm.model.000704F_arrow_pilon.13.update	ENSG00000116641.18,ENSG00000107099.18,ENSG00000130158.14
71	2	2	2	MSTRG.11755.update	ENSG00000198722.15
72	2	2	2	evm.model.000116F_arrow_pilon.11.update	ENSG00000162402.14
73	4	2	4	evm.model.000003F_arrow_pilon.95.update	ENSG00000055163.20,ENSG00000288461.1,ENSG00000273749.5
74	2	2	2	evm.model.000637F_arrow_pilon.6.update	ENSG00000103657.14
75	2	2	2	evm.model.000525F_arrow_pilon.9.update	ENSG00000021826.18
76	3	2	3	evm.model.000269F_arrow_pilon.23.update	ENSG00000066777.9,ENSG00000124198.10
77	5	2	5	MSTRG.15215.update	ENSG00000116254.18,ENSG00000285238.2,ENSG00000111642.16,ENSG00000170004.18
78	4	2	4	evm.model.000486F_arrow_pilon.10.update	ENSG00000143126.8,ENSG00000008300.17,ENSG00000075275.18
79	4	2	4	evm.model.000016F_arrow_pilon.60.update	ENSG00000165029.17,ENSG00000198691.14,ENSG00000064687.13
80	2	2	2	evm.model.000108F_arrow_pilon.27.update	ENSG00000134569.10
81	9	2	9	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update	ENSG00000153253.19,ENSG00000196876.18,ENSG00000007314.12,ENSG00000183873.18,ENSG00000185313.9,ENSG00000136531.19,ENSG00000144285.23,ENSG00000169432.19
82	2	2	2	evm.model.000297F_arrow_pilon.16.update	ENSG00000082898.19
83	2	2	2	evm.model.000101F_arrow_pilon.40.update	ENSG00000013503.10
84	5	2	5	evm.model.000025F_arrow_pilon.87.update	ENSG00000142949.17,ENSG00000153707.19,ENSG00000105426.18,ENSG00000282932.4
85	2	2	2	evm.model.000251F_arrow_pilon.4.update	ENSG00000116984.15
86	2	2	2	evm.model.000147F_arrow_pilon.56.update	ENSG00000165164.14
87	4	2	4	evm.model.000121F_arrow_pilon.35.update	ENSG00000148408.14,ENSG00000141837.22,ENSG00000198216.13
88	2	2	2	evm.TU.000000F_arrow_pilon.98	ENSG00000136628.18
89	2	2	2	evm.model.000144F_arrow_pilon.25.update	ENSG00000067596.12
90	3	2	3	evm.model.000042F_arrow_pilon.46.update,evm.model.000049F_arrow_pilon.17.update	ENSG00000167210.17
91	2	2	2	evm.model.000087F_arrow_pilon.62.update	ENSG00000109111.15
92	3	2	3	evm.model.000142F_arrow_pilon.26.1.update	ENSG00000196569.14,ENSG00000101680.16
93	2	2	2	evm.model.000001F_arrow_pilon.62.update	ENSG00000147162.14
94	2	2	2	evm.model.000017F_arrow_pilon.62.update	ENSG00000107862.7
95	4	2	4	evm.model.000346F_arrow_pilon.22.update,evm.TU.000133F_arrow_pilon.63	ENSG00000143776.20,ENSG00000198752.11
96	3	2	3	evm.model.000019F_arrow_pilon.72.update	ENSG00000197535.16,ENSG00000167306.20
97	2	2	2	evm.model.000275F_arrow_pilon.20.update	ENSG00000178814.17
98	5	2	5	evm.model.000514F_arrow_pilon.4.update	ENSG00000145934.16,ENSG00000009694.13,ENSG00000149256.16,ENSG00000218336.9
99	2	2	2	evm.model.000027F_arrow_pilon.61.update	ENSG00000131473.17
100	3	2	3	evm.model.000088F_arrow_pilon.24.update	ENSG00000129003.19,ENSG00000197969.14
101	2	2	2	evm.model.000207F_arrow_pilon.43.update	ENSG00000173599.15
102	5	2	5	evm.model.000241F_arrow_pilon.1.update,evm.model.000482F_arrow_pilon.19.update	ENSG00000140575.13,ENSG00000145703.17,ENSG00000183856.11
103	3	2	3	evm.model.000003F_arrow_pilon.112.update	ENSG00000122728.6,ENSG00000147133.17
104	10	2	10	evm.model.000212F_arrow_pilon.23.update,evm.model.000346F_arrow_pilon.10.update,evm.TU.000027F_arrow_pilon.117,evm.TU.000259F_arrow_pilon.21,evm.TU.001076F_arrow_pilon.5,evm.model.000273F_arrow_pilon.3.update,evm.model.000075F_arrow_pilon.15.update,evm.model.000006F_arrow_pilon.130.update,evm.model.000566F_arrow_pilon.13.update	ENSG00000173821.20
105	2	2	2	evm.model.000001F_arrow_pilon.24.update	ENSG00000196305.19
106	3	2	3	evm.model.000033F_arrow_pilon.27.update	ENSG00000160796.18,ENSG00000144426.19
107	2	2	2	evm.model.000452F_arrow_pilon.10.update	ENSG00000108883.13
108	3	2	3	evm.model.000221F_arrow_pilon.10.update	ENSG00000135636.15,ENSG00000138119.17
109	3	2	3	evm.model.000356F_arrow_pilon.2.update	ENSG00000163618.18,ENSG00000081803.17
110	3	2	3	evm.model.000124F_arrow_pilon.43.update	ENSG00000104093.14,ENSG00000172869.15
111	2	2	2	evm.model.000392F_arrow_pilon.25.update	ENSG00000133706.19
112	4	2	4	evm.model.000179F_arrow_pilon.26.1.update	ENSG00000160305.18,ENSG00000151240.17,ENSG00000066084.13
113	2	2	2	evm.model.000119F_arrow_pilon.24.update	ENSG00000021776.11
114	5	2	5	evm.model.000455F_arrow_pilon.10.4.update	ENSG00000285505.1,ENSG00000105409.19,ENSG00000018625.15,ENSG00000163399.16
115	3	2	3	evm.model.000244F_arrow_pilon.20.update1,evm.model.000244F_arrow_pilon.20.update2	ENSG00000162688.17
116	2	2	2	evm.model.000239F_arrow_pilon.29.update	ENSG00000101596.17
117	4	2	4	evm.model.000059F_arrow_pilon.11.update	ENSG00000131503.21,ENSG00000254996.5,ENSG00000132466.20
118	4	2	4	evm.model.000087F_arrow_pilon.57.update	ENSG00000103222.20,ENSG00000278183.4,ENSG00000108846.16
119	2	2	2	MSTRG.14152.update	ENSG00000157796.18
120	3	2	3	evm.model.000162F_arrow_pilon.13.update	ENSG00000163638.13,ENSG00000173157.18
121	2	2	2	evm.model.000047F_arrow_pilon.35.update	ENSG00000142798.20
122	2	2	2	evm.model.000500F_arrow_pilon.18.update	ENSG00000164961.16
123	2	2	2	evm.model.000008F_arrow_pilon.38.update	ENSG00000157106.18
124	2	2	2	MSTRG.4358.update	ENSG00000140829.12
125	3	2	3	evm.model.000015F_arrow_pilon.89.1.update	ENSG00000127616.20,ENSG00000080503.24
126	3	2	3	evm.model.000148F_arrow_pilon.27.update	ENSG00000091136.15,ENSG00000172037.14
127	3	2	3	evm.model.000096F_arrow_pilon.46.update	ENSG00000145362.21,ENSG00000151150.22
128	10	2	10	evm.model.000246F_arrow_pilon.24.update,evm.model.000144F_arrow_pilon.39.update,MSTRG.12950.update,MSTRG.13610.update,MSTRG.7253.update,MSTRG.7254.update,evm.TU.000001F_arrow_pilon.172	ENSG00000196296.14,ENSG00000174437.18,ENSG00000074370.18
129	2	2	2	evm.model.000265F_arrow_pilon.28.update	ENSG00000196159.14
130	2	2	2	evm.model.000002F_arrow_pilon.4.1.update	ENSG00000196586.17
131	2	2	2	evm.model.000253F_arrow_pilon.3.update	ENSG00000156113.24
132	3	2	3	evm.model.000010F_arrow_pilon.98.update	ENSG00000157483.9,ENSG00000142347.19
133	5	2	5	evm.model.000035F_arrow_pilon.2.2.update	ENSG00000157087.20,ENSG00000070961.16,ENSG00000058668.15,ENSG00000067842.18
134	2	2	2	evm.model.000458F_arrow_pilon.4.update	ENSG00000068878.15
135	2	2	2	evm.TU.000224F_arrow_pilon.28	ENSG00000241973.11
136	2	2	2	evm.model.000048F_arrow_pilon.53.update	ENSG00000104517.13
137	2	2	2	evm.model.000017F_arrow_pilon.40.update	ENSG00000039123.16
138	3	2	3	evm.TU.000191F_arrow_pilon.40,evm.TU.000379F_arrow_pilon.10	ENSG00000145555.15
139	4	2	4	evm.model.000686F_arrow_pilon.4.update,evm.model.000748F_arrow_pilon.1.update	ENSG00000102038.16,ENSG00000153147.6
140	2	2	2	evm.model.000035F_arrow_pilon.70.update	ENSG00000163913.14
141	2	2	2	MSTRG.1958.update	ENSG00000175216.15
142	2	2	2	evm.model.000361F_arrow_pilon.3.update	ENSG00000102452.18
143	2	2	2	evm.model.000809F_arrow_pilon.1.1.update	ENSG00000178209.17
144	3	2	3	MSTRG.18091.update,MSTRG.18092.update	ENSG00000130816.17
145	3	2	3	evm.model.000473F_arrow_pilon.6.update	ENSG00000144712.12,ENSG00000111530.13
146	12	2	12	evm.model.000325F_arrow_pilon.25.update,evm.model.000353F_arrow_pilon.8.update	ENSG00000080573.7,ENSG00000060718.22,ENSG00000204248.12,ENSG00000235708.8,ENSG00000232541.10,ENSG00000223699.8,ENSG00000206290.10,ENSG00000230930.8,ENSG00000227801.8,ENSG00000130635.16
147	2	2	2	evm.model.000213F_arrow_pilon.22.update	ENSG00000175054.16
148	2	2	2	evm.model.000079F_arrow_pilon.59.update	ENSG00000135829.17
149	2	2	2	evm.model.000201F_arrow_pilon.48.update	ENSG00000101161.8
150	2	2	2	evm.model.000094F_arrow_pilon.49.update	ENSG00000058453.17
151	2	2	2	evm.model.000277F_arrow_pilon.22.update	ENSG00000184432.11
152	3	2	3	evm.model.000370F_arrow_pilon.10.update	ENSG00000102595.21,ENSG00000136731.13
153	3	2	3	evm.model.000112F_arrow_pilon.35.update	ENSG00000131747.15,ENSG00000077097.16
154	2	2	2	evm.model.000102F_arrow_pilon.44.update	ENSG00000112992.18
155	3	2	3	evm.TU.000042F_arrow_pilon.26	ENSG00000083312.19,ENSG00000105576.16
156	2	2	2	evm.model.000139F_arrow_pilon.2.update	ENSG00000243710.8
157	3	2	3	evm.model.000249F_arrow_pilon.8.update	ENSG00000054793.14,ENSG00000166377.21
158	3	2	3	evm.model.000388F_arrow_pilon.17.update,evm.model.000296F_arrow_pilon.6.1.update	ENSG00000089250.20
159	2	2	2	evm.model.000441F_arrow_pilon.20.update	ENSG00000167986.15
160	5	2	5	evm.model.000163F_arrow_pilon.13.update	ENSG00000171316.12,ENSG00000177200.18,ENSG00000124177.16,ENSG00000100888.15
161	4	2	4	evm.model.000470F_arrow_pilon.13.update	ENSG00000184347.15,ENSG00000145147.20,ENSG00000187122.17
162	2	2	2	evm.model.000074F_arrow_pilon.23.update	ENSG00000095564.15
163	3	2	3	evm.model.000047F_arrow_pilon.21.update	ENSG00000275395.7,ENSG00000281123.3
164	2	2	2	evm.model.000044F_arrow_pilon.83.update	ENSG00000129083.13
165	7	2	7	evm.model.000224F_arrow_pilon.5.update	ENSG00000204394.13,ENSG00000231116.9,ENSG00000224264.9,ENSG00000096171.14,ENSG00000226589.9,ENSG00000231945.8
166	2	2	2	evm.model.000153F_arrow_pilon.37.update	ENSG00000178445.10
167	2	2	2	evm.model.000008F_arrow_pilon.37.update	ENSG00000061676.15
168	4	2	4	evm.TU.000324F_arrow_pilon.25,evm.TU.000273F_arrow_pilon.24	ENSG00000197136.5,ENSG00000100731.16
169	2	2	2	evm.TU.000065F_arrow_pilon.59	ENSG00000061987.16
170	2	2	2	MSTRG.1181.update	ENSG00000197386.14
171	3	2	3	evm.TU.000227F_arrow_pilon.9,evm.TU.000227F_arrow_pilon.8	ENSG00000158125.10
172	2	2	2	evm.model.000010F_arrow_pilon.44.update	ENSG00000164946.20
173	2	2	2	evm.model.000000F_arrow_pilon.55.update	ENSG00000130985.17
174	2	2	2	evm.model.000266F_arrow_pilon.34.update	ENSG00000162591.16
175	2	2	2	evm.model.000065F_arrow_pilon.45.update	ENSG00000101868.13
176	3	2	3	evm.model.000529F_arrow_pilon.14.update	ENSG00000174373.17,ENSG00000188559.16
177	2	2	2	evm.model.000403F_arrow_pilon.7.update	ENSG00000101752.12
178	2	2	2	evm.model.000225F_arrow_pilon.8.update	ENSG00000155085.16
179	3	2	3	evm.model.000184F_arrow_pilon.22.update	ENSG00000144908.14,ENSG00000136010.14
180	3	2	3	evm.model.000081F_arrow_pilon.63.update	ENSG00000071894.17,ENSG00000285049.2
181	4	2	4	evm.model.000364F_arrow_pilon.5.update	ENSG00000281324.3,ENSG00000070018.9,ENSG00000162337.12
182	3	2	3	evm.model.000128F_arrow_pilon.24.update	ENSG00000198399.16,ENSG00000205726.15
183	3	2	3	evm.model.000458F_arrow_pilon.3.update	ENSG00000010327.10,ENSG00000136011.15
184	3	2	3	evm.model.000244F_arrow_pilon.18.update,evm.TU.000244F_arrow_pilon.15	ENSG00000167658.16
185	2	2	2	evm.model.000002F_arrow_pilon.3.update	ENSG00000153827.14
186	2	2	2	evm.model.000393F_arrow_pilon.24.update	ENSG00000141564.15
187	2	2	2	evm.model.000019F_arrow_pilon.52.update	ENSG00000198730.9
188	4	2	4	evm.model.000816F_arrow_pilon.7.update	ENSG00000168487.20,ENSG00000095587.9,ENSG00000038295.8
189	2	2	2	evm.model.000016F_arrow_pilon.56.update	ENSG00000167972.14
190	2	2	2	evm.TU.000021F_arrow_pilon.34	ENSG00000115850.10
191	2	2	2	evm.model.000467F_arrow_pilon.14.update	ENSG00000062822.16
192	3	2	3	evm.model.000050F_arrow_pilon.61.update	ENSG00000204764.14,ENSG00000130227.17
193	3	2	3	evm.TU.000079F_arrow_pilon.4	ENSG00000173575.22,ENSG00000153922.11
194	3	2	3	evm.model.000058F_arrow_pilon.39.update	ENSG00000006125.18,ENSG00000100280.17
195	2	2	2	evm.model.000093F_arrow_pilon.45.update	ENSG00000100697.15
196	4	2	4	evm.model.000227F_arrow_pilon.17.update,evm.model.000063F_arrow_pilon.53.update	ENSG00000005471.19,ENSG00000085563.15
197	2	2	2	evm.model.000008F_arrow_pilon.13.update	ENSG00000187535.14
198	3	2	3	evm.model.000329F_arrow_pilon.16.update	ENSG00000143515.19,ENSG00000104043.15
199	3	2	3	evm.model.000074F_arrow_pilon.22.update	ENSG00000124406.16,ENSG00000132932.19
200	2	2	2	evm.model.000152F_arrow_pilon.46.update	ENSG00000115677.18
201	2	2	2	evm.TU.000017F_arrow_pilon.14	ENSG00000165124.19
202	2	2	2	evm.model.000168F_arrow_pilon.18.update	ENSG00000139697.14
203	3	2	3	evm.model.000040F_arrow_pilon.63.update	ENSG00000197444.10,ENSG00000105953.16
204	3	2	3	evm.model.000524F_arrow_pilon.6.update	ENSG00000170832.13,ENSG00000129204.17
205	6	2	6	MSTRG.13449.update,MSTRG.13450.update	ENSG00000117139.18,ENSG00000012817.16,ENSG00000073614.13,ENSG00000126012.13
206	2	2	2	evm.model.000446F_arrow_pilon.19.update	ENSG00000167325.15
207	2	2	2	evm.model.000594F_arrow_pilon.4.update	ENSG00000164190.19
208	2	2	2	evm.model.000837F_arrow_pilon.1.update	ENSG00000068654.17
209	2	2	2	evm.model.000076F_arrow_pilon.41.update	ENSG00000178921.14
210	4	2	4	evm.model.000071F_arrow_pilon.69.update	ENSG00000100994.12,ENSG00000100504.17,ENSG00000068976.14
211	3	2	3	evm.model.000008F_arrow_pilon.69.update	ENSG00000100393.14,ENSG00000005339.15
212	3	2	3	evm.model.000111F_arrow_pilon.4.update,evm.model.000029F_arrow_pilon.39.update	ENSG00000136813.15
213	2	2	2	evm.model.000008F_arrow_pilon.20.update	ENSG00000092201.10
214	5	2	5	evm.model.000228F_arrow_pilon.22.update	ENSG00000134698.11,ENSG00000092847.13,ENSG00000123908.12,ENSG00000126070.20
215	2	2	2	evm.TU.000561F_arrow_pilon.14	ENSG00000125676.20
216	2	2	2	evm.model.000041F_arrow_pilon.64.update	ENSG00000159640.17
217	2	2	2	evm.model.000533F_arrow_pilon.6.update	ENSG00000160111.15
218	2	2	2	evm.model.000499F_arrow_pilon.22.update	ENSG00000135862.6
219	3	2	3	evm.model.000312F_arrow_pilon.10.update	ENSG00000049192.15,ENSG00000142303.14
220	8	2	8	MSTRG.5577.update	ENSG00000204560.10,ENSG00000226171.6,ENSG00000233049.6,ENSG00000233418.8,ENSG00000233561.6,ENSG00000206486.8,ENSG00000231377.6
221	2	2	2	evm.model.000938F_arrow_pilon.8.update	ENSG00000135372.10
222	2	2	2	evm.model.000134F_arrow_pilon.22.update	ENSG00000206530.11
223	6	2	6	evm.model.000104F_arrow_pilon.59.update	ENSG00000072110.16,ENSG00000248746.6,ENSG00000130402.13,ENSG00000077522.15,ENSG00000282844.2
224	2	2	2	evm.model.000006F_arrow_pilon.115.update	ENSG00000123607.16
225	2	2	2	evm.model.000551F_arrow_pilon.2.update	ENSG00000105726.17
226	6	2	6	evm.model.000540F_arrow_pilon.9.update	ENSG00000276482.3,ENSG00000124067.17,ENSG00000140199.13,ENSG00000113504.21,ENSG00000124140.15
227	2	2	2	evm.model.000016F_arrow_pilon.11.update	ENSG00000138081.22
228	2	2	2	evm.model.000041F_arrow_pilon.28.update	ENSG00000072501.19
229	2	2	2	evm.model.000089F_arrow_pilon.72.update	ENSG00000136051.15
230	5	2	5	evm.model.000513F_arrow_pilon.8.3.update	ENSG00000281385.2,ENSG00000196961.13,ENSG00000183020.15,ENSG00000280759.2
231	3	2	3	evm.model.000308F_arrow_pilon.10.update	ENSG00000137177.20,ENSG00000197892.13
232	2	2	2	evm.model.000076F_arrow_pilon.8.update	ENSG00000196235.14
233	4	2	4	evm.model.000147F_arrow_pilon.55.update1,evm.model.000147F_arrow_pilon.55.update2	ENSG00000158623.14,ENSG00000181789.14
234	2	2	2	evm.model.000066F_arrow_pilon.55.update	ENSG00000124207.17
235	2	2	2	evm.model.000057F_arrow_pilon.22.update	ENSG00000122218.16
236	2	2	2	evm.model.000009F_arrow_pilon.72.update	ENSG00000122729.19
237	2	2	2	evm.model.000073F_arrow_pilon.25.update	ENSG00000198707.17
238	3	2	3	evm.model.000428F_arrow_pilon.16.update	ENSG00000140279.13,ENSG00000137857.18
239	2	2	2	evm.model.000015F_arrow_pilon.56.update	ENSG00000065000.19
240	2	2	2	evm.model.000030F_arrow_pilon.67.update	ENSG00000155561.15
241	3	2	3	evm.model.000115F_arrow_pilon.37.update	ENSG00000145725.20,ENSG00000168781.23
242	3	2	3	evm.model.000030F_arrow_pilon.2.update,evm.TU.000084F_arrow_pilon.70	ENSG00000175166.17
243	2	2	2	evm.TU.000062F_arrow_pilon.24	ENSG00000090861.17
244	3	2	3	evm.model.000362F_arrow_pilon.13.update	ENSG00000133812.18,ENSG00000100241.22
245	2	2	2	evm.model.000065F_arrow_pilon.70.update	ENSG00000134900.12
246	3	2	3	evm.model.000397F_arrow_pilon.11.update	ENSG00000184916.9,ENSG00000101384.12
247	2	2	2	evm.model.000284F_arrow_pilon.16.update	ENSG00000143669.15
248	2	2	2	evm.model.000155F_arrow_pilon.28.update	ENSG00000187555.16
249	2	2	2	evm.model.000387F_arrow_pilon.10.update	ENSG00000169126.16
250	2	2	2	evm.model.000193F_arrow_pilon.6.update	ENSG00000141458.13
251	2	2	2	evm.model.000079F_arrow_pilon.68.update	ENSG00000132361.18
252	2	2	2	evm.model.000055F_arrow_pilon.64.update	ENSG00000196535.18
253	2	2	2	evm.model.000257F_arrow_pilon.12.update	ENSG00000047188.16
254	2	2	2	evm.model.000072F_arrow_pilon.11.update	ENSG00000114127.11
255	2	2	2	evm.model.000079F_arrow_pilon.30.update	ENSG00000073111.14
256	2	2	2	evm.model.000000F_arrow_pilon.24.update	ENSG00000115760.15
257	2	2	2	MSTRG.5541.update	ENSG00000125630.16
258	3	2	3	evm.model.000513F_arrow_pilon.3.1.update	ENSG00000197879.17,ENSG00000174527.10
259	3	2	3	evm.model.000129F_arrow_pilon.31.update	ENSG00000165240.22,ENSG00000123191.16
260	3	2	3	evm.model.000564F_arrow_pilon.4.update	ENSG00000100934.15,ENSG00000101310.17
261	2	2	2	evm.model.000048F_arrow_pilon.13.update	ENSG00000253729.8
262	2	2	2	evm.model.000065F_arrow_pilon.22.update	ENSG00000173692.14
263	3	2	3	evm.model.000003F_arrow_pilon.116.update	ENSG00000134318.15,ENSG00000067900.8
264	7	2	7	evm.model.000004F_arrow_pilon.29.update	ENSG00000204351.12,ENSG00000223493.9,ENSG00000206353.11,ENSG00000232616.9,ENSG00000228896.9,ENSG00000225737.9
265	3	2	3	evm.model.000516F_arrow_pilon.8.update,evm.model.000232F_arrow_pilon.22.update	ENSG00000147044.23
266	2	2	2	evm.model.000099F_arrow_pilon.33.update	ENSG00000076924.12
267	4	2	4	evm.model.000325F_arrow_pilon.3.update	ENSG00000079805.19,ENSG00000197959.15,ENSG00000106976.21
268	2	2	2	evm.model.000130F_arrow_pilon.19.update	ENSG00000136824.19
269	3	2	3	evm.model.000158F_arrow_pilon.21.update	ENSG00000055609.21,ENSG00000167548.18
270	3	2	3	evm.model.000022F_arrow_pilon.23.update,evm.model.001309F_arrow_pilon.1.update	ENSG00000134910.14
271	2	2	2	evm.model.000342F_arrow_pilon.9.update	ENSG00000140943.18
272	2	2	2	evm.model.000351F_arrow_pilon.2.update	ENSG00000100412.17
273	3	2	3	evm.model.000108F_arrow_pilon.47.update	ENSG00000130508.11,ENSG00000147485.13
274	6	2	6	evm.model.000072F_arrow_pilon.16.update	ENSG00000139219.19,ENSG00000204262.14,ENSG00000168542.16,ENSG00000164692.19,ENSG00000108821.14
