gene_name	styela
nbeab	evm.model.000005F_arrow_pilon.41.update
nbeaa	evm.model.000005F_arrow_pilon.41.update
lrba	evm.model.000005F_arrow_pilon.41.update
fbn2b	evm.model.000109F_arrow_pilon.41.update
fbn2a	evm.model.000109F_arrow_pilon.41.update
wdfy3	evm.model.000070F_arrow_pilon.19.update
myh7ba	evm.model.000239F_arrow_pilon.24.update
myh7ba	evm.model.000926F_arrow_pilon.12.update
myh7ba	evm.model.000066F_arrow_pilon.34.update
myh7ba	evm.model.000926F_arrow_pilon.11.update
myh7ba	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myh7ba	evm.model.000926F_arrow_pilon.9.update
myh7	evm.model.000239F_arrow_pilon.24.update
myh7	evm.model.000926F_arrow_pilon.12.update
myh7	evm.model.000066F_arrow_pilon.34.update
myh7	evm.model.000926F_arrow_pilon.11.update
myh7	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myh7	evm.model.000926F_arrow_pilon.9.update
myh7bb	evm.model.000239F_arrow_pilon.24.update
myh7bb	evm.model.000926F_arrow_pilon.12.update
myh7bb	evm.model.000066F_arrow_pilon.34.update
myh7bb	evm.model.000926F_arrow_pilon.11.update
myh7bb	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myh7bb	evm.model.000926F_arrow_pilon.9.update
CU633479.3	evm.model.000239F_arrow_pilon.24.update
CU633479.3	evm.model.000926F_arrow_pilon.12.update
CU633479.3	evm.model.000066F_arrow_pilon.34.update
CU633479.3	evm.model.000926F_arrow_pilon.11.update
CU633479.3	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
CU633479.3	evm.model.000926F_arrow_pilon.9.update
CU633479.2	evm.model.000239F_arrow_pilon.24.update
CU633479.2	evm.model.000926F_arrow_pilon.12.update
CU633479.2	evm.model.000066F_arrow_pilon.34.update
CU633479.2	evm.model.000926F_arrow_pilon.11.update
CU633479.2	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
CU633479.2	evm.model.000926F_arrow_pilon.9.update
myh7l	evm.model.000239F_arrow_pilon.24.update
myh7l	evm.model.000926F_arrow_pilon.12.update
myh7l	evm.model.000066F_arrow_pilon.34.update
myh7l	evm.model.000926F_arrow_pilon.11.update
myh7l	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myh7l	evm.model.000926F_arrow_pilon.9.update
CU633479.4	evm.model.000239F_arrow_pilon.24.update
CU633479.4	evm.model.000926F_arrow_pilon.12.update
CU633479.4	evm.model.000066F_arrow_pilon.34.update
CU633479.4	evm.model.000926F_arrow_pilon.11.update
CU633479.4	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
CU633479.4	evm.model.000926F_arrow_pilon.9.update
smyhc3	evm.model.000239F_arrow_pilon.24.update
smyhc3	evm.model.000926F_arrow_pilon.12.update
smyhc3	evm.model.000066F_arrow_pilon.34.update
smyhc3	evm.model.000926F_arrow_pilon.11.update
smyhc3	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
smyhc3	evm.model.000926F_arrow_pilon.9.update
smyhc1	evm.model.000239F_arrow_pilon.24.update
smyhc1	evm.model.000926F_arrow_pilon.12.update
smyhc1	evm.model.000066F_arrow_pilon.34.update
smyhc1	evm.model.000926F_arrow_pilon.11.update
smyhc1	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
smyhc1	evm.model.000926F_arrow_pilon.9.update
smyhc2	evm.model.000239F_arrow_pilon.24.update
smyhc2	evm.model.000926F_arrow_pilon.12.update
smyhc2	evm.model.000066F_arrow_pilon.34.update
smyhc2	evm.model.000926F_arrow_pilon.11.update
smyhc2	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
smyhc2	evm.model.000926F_arrow_pilon.9.update
smyhc2	evm.model.000239F_arrow_pilon.24.update
smyhc2	evm.model.000926F_arrow_pilon.12.update
smyhc2	evm.model.000066F_arrow_pilon.34.update
smyhc2	evm.model.000926F_arrow_pilon.11.update
smyhc2	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
smyhc2	evm.model.000926F_arrow_pilon.9.update
smyhc1	evm.model.000239F_arrow_pilon.24.update
smyhc1	evm.model.000926F_arrow_pilon.12.update
smyhc1	evm.model.000066F_arrow_pilon.34.update
smyhc1	evm.model.000926F_arrow_pilon.11.update
smyhc1	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
smyhc1	evm.model.000926F_arrow_pilon.9.update
myh6	evm.model.000239F_arrow_pilon.24.update
myh6	evm.model.000926F_arrow_pilon.12.update
myh6	evm.model.000066F_arrow_pilon.34.update
myh6	evm.model.000926F_arrow_pilon.11.update
myh6	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myh6	evm.model.000926F_arrow_pilon.9.update
smyhc3	evm.model.000239F_arrow_pilon.24.update
smyhc3	evm.model.000926F_arrow_pilon.12.update
smyhc3	evm.model.000066F_arrow_pilon.34.update
smyhc3	evm.model.000926F_arrow_pilon.11.update
smyhc3	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
smyhc3	evm.model.000926F_arrow_pilon.9.update
myhz1.2	evm.model.000239F_arrow_pilon.24.update
myhz1.2	evm.model.000926F_arrow_pilon.12.update
myhz1.2	evm.model.000066F_arrow_pilon.34.update
myhz1.2	evm.model.000926F_arrow_pilon.11.update
myhz1.2	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myhz1.2	evm.model.000926F_arrow_pilon.9.update
myhz1.3	evm.model.000239F_arrow_pilon.24.update
myhz1.3	evm.model.000926F_arrow_pilon.12.update
myhz1.3	evm.model.000066F_arrow_pilon.34.update
myhz1.3	evm.model.000926F_arrow_pilon.11.update
myhz1.3	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myhz1.3	evm.model.000926F_arrow_pilon.9.update
myhz2	evm.model.000239F_arrow_pilon.24.update
myhz2	evm.model.000926F_arrow_pilon.12.update
myhz2	evm.model.000066F_arrow_pilon.34.update
myhz2	evm.model.000926F_arrow_pilon.11.update
myhz2	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myhz2	evm.model.000926F_arrow_pilon.9.update
myhc4	evm.model.000239F_arrow_pilon.24.update
myhc4	evm.model.000926F_arrow_pilon.12.update
myhc4	evm.model.000066F_arrow_pilon.34.update
myhc4	evm.model.000926F_arrow_pilon.11.update
myhc4	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myhc4	evm.model.000926F_arrow_pilon.9.update
myha	evm.model.000239F_arrow_pilon.24.update
myha	evm.model.000926F_arrow_pilon.12.update
myha	evm.model.000066F_arrow_pilon.34.update
myha	evm.model.000926F_arrow_pilon.11.update
myha	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myha	evm.model.000926F_arrow_pilon.9.update
myhb	evm.model.000239F_arrow_pilon.24.update
myhb	evm.model.000926F_arrow_pilon.12.update
myhb	evm.model.000066F_arrow_pilon.34.update
myhb	evm.model.000926F_arrow_pilon.11.update
myhb	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myhb	evm.model.000926F_arrow_pilon.9.update
myhz1.1	evm.model.000239F_arrow_pilon.24.update
myhz1.1	evm.model.000926F_arrow_pilon.12.update
myhz1.1	evm.model.000066F_arrow_pilon.34.update
myhz1.1	evm.model.000926F_arrow_pilon.11.update
myhz1.1	evm.model.000055F_arrow_pilon.1_evm.model.000055F_arrow_pilon.4.update
myhz1.1	evm.model.000926F_arrow_pilon.9.update
sptbn2	evm.model.000009F_arrow_pilon.70.update
sptb	evm.model.000009F_arrow_pilon.70.update
sptbn1	evm.model.000009F_arrow_pilon.70.update
mdn1	evm.model.000150F_arrow_pilon.5.update
dync1h1	evm.TU.000241F_arrow_pilon.14
ift172	evm.model.000082F_arrow_pilon.30.update
gcn1	evm.model.000015F_arrow_pilon.86.update
pkhd1l1	evm.model.000204F_arrow_pilon.28.update
PKHD1L1	evm.model.000204F_arrow_pilon.28.update
nf1a	evm.model.000125F_arrow_pilon.23.update
nf1b	evm.model.000125F_arrow_pilon.23.update
cnot1	evm.model.000002F_arrow_pilon.50.update
cnot1	evm.model.000002F_arrow_pilon.50.update
myh11a	evm.model.000566F_arrow_pilon.5.update
myh10	evm.model.000566F_arrow_pilon.5.update
myh14	evm.model.000566F_arrow_pilon.5.update
myh9a	evm.model.000566F_arrow_pilon.5.update
myh9b	evm.model.000566F_arrow_pilon.5.update
EML5	evm.model.000524F_arrow_pilon.4.update
EML6	evm.model.000524F_arrow_pilon.4.update
syne1a	evm.model.000043F_arrow_pilon.16.update
syne1a	evm.model.000043F_arrow_pilon.16.update
syne1b	evm.model.000043F_arrow_pilon.16.update
ascc3	evm.model.000324F_arrow_pilon.20.update
otofb	evm.model.000117F_arrow_pilon.11_evm.model.000117F_arrow_pilon.7.update
otofa	evm.model.000117F_arrow_pilon.11_evm.model.000117F_arrow_pilon.7.update
polr2b	evm.model.000110F_arrow_pilon.7.update
si:ch211-286b4.4	evm.model.000022F_arrow_pilon.75.update
hectd1	evm.model.000331F_arrow_pilon.7.update
myo7ab	evm.TU.000276F_arrow_pilon.11
MYO7B	evm.TU.000276F_arrow_pilon.11
si:ch73-194h10.2	evm.TU.000276F_arrow_pilon.11
myo7aa	evm.TU.000276F_arrow_pilon.11
BX324225.1	evm.TU.000276F_arrow_pilon.11
BX005335.1	evm.TU.000276F_arrow_pilon.11
BX936445.2	evm.TU.000276F_arrow_pilon.11
huwe1	evm.model.000003F_arrow_pilon.53.update
BX664745.2	evm.model.000003F_arrow_pilon.53.update
lama5	evm.model.000146F_arrow_pilon.40.update
lama5	evm.model.000146F_arrow_pilon.41.update
vwa8	evm.model.000060F_arrow_pilon.33.update
vwa8	evm.model.000060F_arrow_pilon.33.update
vwa8	evm.model.000060F_arrow_pilon.33.update
sf3b3	evm.model.000160F_arrow_pilon.12.update
cacna1fb	evm.model.000003F_arrow_pilon.56.update
cacna1da	evm.model.000003F_arrow_pilon.56.update
cacna1c	evm.model.000003F_arrow_pilon.56.update
notch2	evm.model.000004F_arrow_pilon.110.update
notch3	evm.model.000004F_arrow_pilon.110.update
notch1b	evm.model.000004F_arrow_pilon.110.update
notch1a	evm.model.000004F_arrow_pilon.110.update
kalrna	evm.model.000010F_arrow_pilon.8.update
trioa	evm.model.000010F_arrow_pilon.8.update
kalrnb	evm.model.000010F_arrow_pilon.8.update
triob	evm.model.000010F_arrow_pilon.8.update
heatr5b	evm.model.000418F_arrow_pilon.9.update
BLTP1	evm.model.000119F_arrow_pilon.18.update
si:ch211-233a24.2	evm.model.000119F_arrow_pilon.18.update
cps1	evm.model.000525F_arrow_pilon.9.update
celsr2	evm.model.000486F_arrow_pilon.10.update
celsr1b	evm.model.000486F_arrow_pilon.10.update
celsr1a	evm.model.000486F_arrow_pilon.10.update
celsr3	evm.model.000486F_arrow_pilon.10.update
hspg2	evm.model.000047F_arrow_pilon.35.update
loxhd1a	evm.model.000042F_arrow_pilon.46.update
loxhd1a	evm.model.000049F_arrow_pilon.17.update
loxhd1b	evm.model.000042F_arrow_pilon.46.update
loxhd1b	evm.model.000049F_arrow_pilon.17.update
usp24	evm.model.000116F_arrow_pilon.11.update
sptan1	evm.model.000111F_arrow_pilon.51.1.update
dock8	evm.model.000704F_arrow_pilon.13.update
dock7	evm.model.000704F_arrow_pilon.13.update
dock6	evm.model.000704F_arrow_pilon.13.update
cyfip2	evm.model.000003F_arrow_pilon.95.update
cyfip2	evm.model.000003F_arrow_pilon.95.update
cyfip2	evm.model.000003F_arrow_pilon.95.update
cyfip1	evm.model.000003F_arrow_pilon.95.update
abca4a	evm.model.000016F_arrow_pilon.60.update
abca1b	evm.model.000016F_arrow_pilon.60.update
abca4b	evm.model.000016F_arrow_pilon.60.update
abca1a	evm.model.000016F_arrow_pilon.60.update
arfgef1	evm.model.000269F_arrow_pilon.23.update
arfgef2	evm.model.000269F_arrow_pilon.23.update
chd3	MSTRG.15215.update
chd4a	MSTRG.15215.update
chd4b	MSTRG.15215.update
chd4a	MSTRG.15215.update
chd5	MSTRG.15215.update
herc1	evm.model.000637F_arrow_pilon.6.update
herc1	evm.model.000637F_arrow_pilon.6.update
unc13ba	MSTRG.11755.update
unc13a	MSTRG.11755.update
UNC13B	MSTRG.11755.update
unc13a	MSTRG.11755.update
BX005199.2	evm.model.000028F_arrow_pilon.61.update
vps13d	evm.model.000028F_arrow_pilon.61.update
xpo1a	evm.model.000297F_arrow_pilon.16.update
xpo1b	evm.model.000297F_arrow_pilon.16.update
polr3b	evm.model.000101F_arrow_pilon.40.update
polr3b	evm.model.000101F_arrow_pilon.40.update
vps13a	evm.model.000088F_arrow_pilon.24.update
vps13c	evm.model.000088F_arrow_pilon.24.update
vps13c	evm.model.000088F_arrow_pilon.24.update
scn4ab	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn12aa	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn1lab	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn5lab	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn8aa	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn4aa	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn8ab	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn4aa	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
scn1laa	evm.model.000103F_arrow_pilon.26_evm.model.000103F_arrow_pilon.27.update
cacna1eb	evm.model.000121F_arrow_pilon.35.update
cacna1ba	evm.model.000121F_arrow_pilon.35.update
cacna1ab	evm.model.000121F_arrow_pilon.35.update
cacna1bb	evm.model.000121F_arrow_pilon.35.update
cacna1aa	evm.model.000121F_arrow_pilon.35.update
cacna1bb	evm.model.000121F_arrow_pilon.35.update
dhx8	evm.model.000144F_arrow_pilon.25.update
AL833789.3	evm.model.000144F_arrow_pilon.25.update
supt6h	evm.model.000087F_arrow_pilon.62.update
ptprsa	evm.model.000025F_arrow_pilon.87.update
ptprdb	evm.model.000025F_arrow_pilon.87.update
ptprfb	evm.model.000025F_arrow_pilon.87.update
ptprfa	evm.model.000025F_arrow_pilon.87.update
myo5aa	evm.model.000019F_arrow_pilon.72.update
myo5aa	evm.model.000019F_arrow_pilon.72.update
myo5ab	evm.model.000019F_arrow_pilon.72.update
myo5ab	evm.model.000019F_arrow_pilon.72.update
myo5b	evm.model.000019F_arrow_pilon.72.update
gbf1	evm.model.000017F_arrow_pilon.62.update
rnf213a	evm.model.000212F_arrow_pilon.23.update
rnf213a	evm.model.000346F_arrow_pilon.10.update
rnf213a	evm.TU.000027F_arrow_pilon.117
rnf213a	evm.TU.000259F_arrow_pilon.21
rnf213a	evm.model.000273F_arrow_pilon.3.update
rnf213a	evm.model.000075F_arrow_pilon.15.update
rnf213a	evm.model.000006F_arrow_pilon.130.update
rnf213a	evm.model.000566F_arrow_pilon.13.update
rnf213b	evm.model.000212F_arrow_pilon.23.update
rnf213b	evm.model.000346F_arrow_pilon.10.update
rnf213b	evm.TU.000027F_arrow_pilon.117
rnf213b	evm.TU.000259F_arrow_pilon.21
rnf213b	evm.model.000273F_arrow_pilon.3.update
rnf213b	evm.model.000075F_arrow_pilon.15.update
rnf213b	evm.model.000006F_arrow_pilon.130.update
rnf213b	evm.model.000566F_arrow_pilon.13.update
ogt.1	evm.model.000001F_arrow_pilon.62.update
ogt.1	evm.model.000001F_arrow_pilon.62.update
oplah	evm.model.000275F_arrow_pilon.20.update
eprs1	evm.TU.000000F_arrow_pilon.98
iars1	evm.model.000001F_arrow_pilon.24.update
aclyb	evm.model.000027F_arrow_pilon.61.update
aclya	evm.model.000027F_arrow_pilon.61.update
TENM2	evm.model.000514F_arrow_pilon.4.update
tenm1	evm.model.000514F_arrow_pilon.4.update
TENM3	evm.model.000514F_arrow_pilon.4.update
BX537102.3	evm.model.000514F_arrow_pilon.4.update
TENM2	evm.model.000514F_arrow_pilon.4.update
tenm3	evm.model.000514F_arrow_pilon.4.update
tenm4	evm.model.000514F_arrow_pilon.4.update
cdc42bpb	evm.model.000346F_arrow_pilon.22.update
cdc42bpb	evm.TU.000133F_arrow_pilon.63
cdc42bpaa	evm.model.000346F_arrow_pilon.22.update
cdc42bpaa	evm.TU.000133F_arrow_pilon.63
cdc42bpab	evm.model.000346F_arrow_pilon.22.update
cdc42bpab	evm.TU.000133F_arrow_pilon.63
pcxa	evm.model.000207F_arrow_pilon.43.update
pcxb	evm.model.000207F_arrow_pilon.43.update
BX005212.1	MSTRG.14152.update
wdr19	MSTRG.14152.update
eftud2	evm.model.000452F_arrow_pilon.10.update
atp1a1b	evm.model.000455F_arrow_pilon.10.4.update
atp1a3a	evm.model.000455F_arrow_pilon.10.4.update
atp1a1a.4	evm.model.000455F_arrow_pilon.10.4.update
atp1a3b	evm.model.000455F_arrow_pilon.10.4.update
atp1a1b	evm.model.000455F_arrow_pilon.10.4.update
atp1a2a	evm.model.000455F_arrow_pilon.10.4.update
atp1a2a	evm.model.000455F_arrow_pilon.10.4.update
atp1a2a	evm.model.000455F_arrow_pilon.10.4.update
atp1a1a.3	evm.model.000455F_arrow_pilon.10.4.update
atp1a1a.1	evm.model.000455F_arrow_pilon.10.4.update
abcc3	evm.model.000087F_arrow_pilon.57.update
abcc1	evm.model.000087F_arrow_pilon.57.update
mtr	evm.model.000251F_arrow_pilon.4.update
dip2ca	evm.model.000179F_arrow_pilon.26.1.update
dip2ba	evm.model.000179F_arrow_pilon.26.1.update
dip2ba	evm.model.000179F_arrow_pilon.26.1.update
dip2a	evm.model.000179F_arrow_pilon.26.1.update
dip2ba	evm.model.000179F_arrow_pilon.26.1.update
dip2ca	evm.model.000179F_arrow_pilon.26.1.update
dip2cb	evm.model.000179F_arrow_pilon.26.1.update
dip2bb	evm.model.000179F_arrow_pilon.26.1.update
taf1	evm.model.000003F_arrow_pilon.112.update
aqr	evm.model.000119F_arrow_pilon.24.update
nbeal2	evm.model.000033F_arrow_pilon.27.update
nbeal1	evm.model.000033F_arrow_pilon.27.update
nbeal2	evm.model.000033F_arrow_pilon.27.update
dmxl2	evm.model.000124F_arrow_pilon.43.update
iqgap2	evm.model.000241F_arrow_pilon.1.update
iqgap2	evm.model.000482F_arrow_pilon.19.update
iqgap1	evm.model.000241F_arrow_pilon.1.update
iqgap1	evm.model.000482F_arrow_pilon.19.update
iqgap3	evm.model.000241F_arrow_pilon.1.update
iqgap3	evm.model.000482F_arrow_pilon.19.update
dysf	evm.model.000221F_arrow_pilon.10.update
myofl	evm.model.000221F_arrow_pilon.10.update
myof	evm.model.000221F_arrow_pilon.10.update
cadpsa	evm.model.000356F_arrow_pilon.2.update
cadpsb	evm.model.000356F_arrow_pilon.2.update
lama1	evm.model.000142F_arrow_pilon.26.1.update
smarca4a	evm.model.000015F_arrow_pilon.89.1.update
smarca2	evm.model.000015F_arrow_pilon.89.1.update
smarca2	evm.model.000015F_arrow_pilon.89.1.update
SMARCA4	evm.model.000015F_arrow_pilon.89.1.update
smg1	evm.model.000008F_arrow_pilon.38.update
smg1	evm.model.000008F_arrow_pilon.38.update
agla	evm.model.000244F_arrow_pilon.20.update1
agla	evm.model.000244F_arrow_pilon.20.update2
si:dkey-266m15.6	evm.model.000239F_arrow_pilon.25.update
ank2a	evm.model.000096F_arrow_pilon.46.update
BX469921.1	evm.model.000096F_arrow_pilon.46.update
ank3a	evm.model.000096F_arrow_pilon.46.update
ank2b	evm.model.000096F_arrow_pilon.46.update
ankhd1	evm.model.000059F_arrow_pilon.11.update
lamb1a	evm.model.000148F_arrow_pilon.27.update
lamb1b	evm.model.000148F_arrow_pilon.27.update
lamb2	evm.model.000148F_arrow_pilon.27.update
lamb2l	evm.model.000148F_arrow_pilon.27.update
lamb1b	evm.model.000148F_arrow_pilon.27.update
atp2a2a	evm.model.000246F_arrow_pilon.24.update
atp2a2a	evm.model.000144F_arrow_pilon.39.update
atp2a2a	MSTRG.12950.update
atp2a2a	MSTRG.13610.update
atp2a2a	MSTRG.7253.update
atp2a2a	MSTRG.7254.update
atp2a2a	evm.TU.000001F_arrow_pilon.172
atp2a2b	evm.model.000246F_arrow_pilon.24.update
atp2a2b	evm.model.000144F_arrow_pilon.39.update
atp2a2b	MSTRG.12950.update
atp2a2b	MSTRG.13610.update
atp2a2b	MSTRG.7253.update
atp2a2b	MSTRG.7254.update
atp2a2b	evm.TU.000001F_arrow_pilon.172
atp2a1	evm.model.000246F_arrow_pilon.24.update
atp2a1	evm.model.000144F_arrow_pilon.39.update
atp2a1	MSTRG.12950.update
atp2a1	MSTRG.13610.update
atp2a1	MSTRG.7253.update
atp2a1	MSTRG.7254.update
atp2a1	evm.TU.000001F_arrow_pilon.172
si:dkey-28b4.8	evm.model.000246F_arrow_pilon.24.update
si:dkey-28b4.8	evm.model.000144F_arrow_pilon.39.update
si:dkey-28b4.8	MSTRG.12950.update
si:dkey-28b4.8	MSTRG.13610.update
si:dkey-28b4.8	MSTRG.7253.update
si:dkey-28b4.8	MSTRG.7254.update
si:dkey-28b4.8	evm.TU.000001F_arrow_pilon.172
atp2a1l	evm.model.000246F_arrow_pilon.24.update
atp2a1l	evm.model.000144F_arrow_pilon.39.update
atp2a1l	MSTRG.12950.update
atp2a1l	MSTRG.13610.update
atp2a1l	MSTRG.7253.update
atp2a1l	MSTRG.7254.update
atp2a1l	evm.TU.000001F_arrow_pilon.172
atp2a3	evm.model.000246F_arrow_pilon.24.update
atp2a3	evm.model.000144F_arrow_pilon.39.update
atp2a3	MSTRG.12950.update
atp2a3	MSTRG.13610.update
atp2a3	MSTRG.7253.update
atp2a3	MSTRG.7254.update
atp2a3	evm.TU.000001F_arrow_pilon.172
zanl	evm.model.000047F_arrow_pilon.21.update
dhx38	MSTRG.4358.update
dhx9	evm.model.000079F_arrow_pilon.59.update
vars1	evm.model.000224F_arrow_pilon.5.update
myo6a	evm.model.000002F_arrow_pilon.4.1.update
myo6b	evm.model.000002F_arrow_pilon.4.1.update
megf6a	evm.model.000266F_arrow_pilon.34.update
megf6b	evm.model.000266F_arrow_pilon.34.update
BX004787.2	evm.model.000266F_arrow_pilon.34.update
col11a1a	evm.model.000325F_arrow_pilon.25.update
col11a1a	evm.model.000353F_arrow_pilon.8.update
col11a2	evm.model.000325F_arrow_pilon.25.update
col11a2	evm.model.000353F_arrow_pilon.8.update
col5a3a	evm.model.000325F_arrow_pilon.25.update
col5a3a	evm.model.000353F_arrow_pilon.8.update
col5a1	evm.model.000325F_arrow_pilon.25.update
col5a1	evm.model.000353F_arrow_pilon.8.update
col11a1b	evm.model.000325F_arrow_pilon.25.update
col11a1b	evm.model.000353F_arrow_pilon.8.update
col5a3b	evm.model.000325F_arrow_pilon.25.update
col5a3b	evm.model.000353F_arrow_pilon.8.update
smarca1	evm.model.000686F_arrow_pilon.4.update
smarca1	evm.model.000748F_arrow_pilon.1.update
smarca5	evm.model.000686F_arrow_pilon.4.update
smarca5	evm.model.000748F_arrow_pilon.1.update
myo1eb	evm.model.000010F_arrow_pilon.98.update
myo1f	evm.model.000010F_arrow_pilon.98.update
myo1eb	evm.model.000010F_arrow_pilon.98.update
myo1ea	evm.model.000010F_arrow_pilon.98.update
dnmt1	MSTRG.18091.update
dnmt1	MSTRG.18092.update
atp2b3a	evm.model.000035F_arrow_pilon.2.2.update
atp2b1a	evm.model.000035F_arrow_pilon.2.2.update
atp2b4	evm.model.000035F_arrow_pilon.2.2.update
atp2b3b	evm.model.000035F_arrow_pilon.2.2.update
atp2b2	evm.model.000035F_arrow_pilon.2.2.update
atp2b3b	evm.model.000035F_arrow_pilon.2.2.update
atp2b1b	evm.model.000035F_arrow_pilon.2.2.update
